_id,name,price,category,image,description,rating,soldBy,petType
681451a8bcffc3a50e042e16,Pet Grooming Kit,29.99,Bodycare,"https://m.media-amazon.com/images/I/61mT53+1R8L.AC_UF1000,1000_QL80.jpg","Complete grooming kit with clippers, brushes, and scissors for dogs and cats.",4.6,PetPro,Dog & Cat
681451a8bcffc3a50e042e17,Dog Poop Bags,5.49,Bodycare,https://m.media-amazon.com/images/I/71aI4jHM0ZL.jpg,Eco-friendly dog poop bags with a convenient dispenser.,4.7,EcoPaws,Dog
681451a8bcffc3a50e042e18,Cat Litter Deodorizer,7.99,Bodycare,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2GTbbfI6Q6gNWpxmptg4BCQmLQJ1hYgopKQ&s,Natural deodorizer to keep your cat's litter box fresh and odor-free.,4.5,FreshPaws,Cat
681451a8bcffc3a50e042e19,Pet Ear Cleaner,12.99,Bodycare,https://www.walkervillevet.com.au/wp-content/uploads/2021/06/ear-cleaners-dog-1030x541.jpg,Gentle ear cleaner for pets to prevent infections and irritation.,4.6,PetCleanse,Dog & Cat
681451a8bcffc3a50e042e1a,Pet Toothbrush Set,7.5,Bodycare,https://m.media-amazon.com/images/I/61AFWBhABLL.jpg,Complete toothbrush set for dogs and cats to maintain oral health.,4.7,PetFresh,Dog & Cat
681451a8bcffc3a50e042e1b,Flea Treatment for Dogs,25.99,Bodycare,"https://m.media-amazon.com/images/I/81zLIFNt1LL.AC_UF1000,1000_QL80.jpg",Effective flea treatment for dogs that eliminates fleas and ticks.,4.6,FleaGuard,Dog
681451a8bcffc3a50e042e1c,Cat Nail Clippers,6.99,Bodycare,https://rukminim2.flixcart.com/image/850/1000/l5fnhjk0/pet-nail-clipper/n/0/m/professional-stainless-steel-tool-nail-clipper-cutter-with-nail-original-imagg44vwvwt2h5q.jpeg?q=90&crop=false,Durable cat nail clippers designed for safe and easy trimming.,4.5,ClawCare,Cat
681451a8bcffc3a50e042e1d,Pet Shampoo for Sensitive Skin,10.99,Bodycare,https://images-cdn.ubuy.co.in/6484673203fbc250967aaa72-oatmeal-dog-shampoo-with-aloe-for-dogs.jpg,"Gentle shampoo for pets with sensitive skin, free of harsh chemicals.",4.6,GentleCare,Dog & Cat
681451a8bcffc3a50e042e1e,Bird Cage Swing,6.75,Accessories,https://m.media-amazon.com/images/I/81Lsu7ltWPL.jpg,Colorful wooden swing for small birds like parakeets and finches. Adds fun and comfort to bird cages.,4.2,Feathered Friends Ltd,Bird
681451a8bcffc3a50e042e1f,Adjustable Dog Harness,18.99,Accessories,https://m.media-amazon.com/images/I/71mpsRt-kAL.jpg,Comfort-fit harness for all dog sizes with reflective stitching.,4.7,HarnessHub,Dog
681451a8bcffc3a50e042e20,Pet Travel Backpack,29.99,Accessories,https://m.media-amazon.com/images/I/616nlnZIeyL.jpg,Spacious and comfortable travel backpack for carrying your small pet while on the go.,4.6,PetVoyage,Dog & Cat
681451a8bcffc3a50e042e21,Fish Tank Decoration,15.5,Accessories,https://m.media-amazon.com/images/I/81sAGq3piNL.jpg,Stylish and vibrant decoration for fish tanks to create a beautiful aquatic environment.,4.4,TankDecor,Fish
681451a8bcffc3a50e042e22,Collapsible Dog Bowl,5.99,Accessories,https://m.media-amazon.com/images/I/71i8E0hBi8L.jpg,"Space-saving, collapsible bowl for dogs, perfect for travel.",4.6,PawGear,Dog
681451a8bcffc3a50e042e23,Cat Collar with Bell,4.99,Accessories,https://m.media-amazon.com/images/I/81PYyVDtraL.jpg,"Cute cat collar with a bell, adjustable and safe for outdoor adventures.",4.7,WhiskerWear,Cat
681451a8bcffc3a50e042e24,Pet Water Fountain,39.99,Accessories,https://m.media-amazon.com/images/I/81c-ZBTTaXL.jpg,"Automatic water fountain for pets to keep them hydrated with fresh, filtered water.",4.6,HydroPets,Dog & Cat
681451a8bcffc3a50e042e25,Pet ID Tag,3.99,Accessories,https://m.media-amazon.com/images/I/81p4buRAVmL.jpg,"Customizable ID tag for pets, perfect for added safety.",4.8,TagTails,Dog & Cat
681451a8bcffc3a50e042e26,Dog Leash - Reflective,9.99,Accessories,https://petsup.in/cdn/shop/files/1_b8587c4f-8714-4d4b-95b8-910dd8022297.jpg?v=1725261681,Reflective dog leash for safety during night walks.,4.5,SafeWalk,Dog
681451a8bcffc3a50e042e27,Pet Bed - Orthopedic,39.99,Accessories,https://images-cdn.ubuy.co.in/64b6d0ec91fd8967f955c495-bfpethome-orthopedic-dog-beds-for-large.jpg,Memory foam orthopedic bed for dogs and cats with joint issues.,4.7,ComfyPets,Dog & Cat
