_id,animalType,breed,age,groomingInfo,dietInfo,healthInfo,image,youtubeLinks[0].title,youtubeLinks[1].title,youtubeLinks[0].url,youtubeLinks[1].url,trainingInfo
6836aa57798052bc83763d51,Fish,Goldfish,Puppy/Kitten | Adult | Senior,"Adult goldfish don't require direct grooming, but their environment needs regular maintenance. Change 25-30% of the tank water weekly using a siphon to remove debris from the gravel. Clean tank decorations monthly to prevent algae buildup. Clean filters according to manufacturer instructions, usually rinsing media in old tank water to preserve beneficial bacteria.","Adult goldfish should be fed a high-quality goldfish-specific food that sinks rather than floats. Feed 2-3 times daily, only what they can consume in 2-3 minutes. Supplement with blanched vegetables like peas and zucchini once or twice a week. Avoid overfeeding, which causes water quality issues and health problems.","Adult goldfish are prone to swim bladder disorders, fin rot, and fungal infections. Watch for signs of illness such as lethargy, loss of appetite, or unusual swimming patterns. Maintain proper water parameters: temperature 65-75°F (18-24°C), pH 7.0-7.6, ammonia and nitrite at 0 ppm, and nitrate below 40 ppm.",https://images.unsplash.com/photo-1646116926216-7368589dce9a?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OHx8Z29sZGZpc2h8ZW58MHx8MHx8fDA%3D,Goldfish Tank Maintenance Guide,Proper Goldfish Feeding Techniques,https://m.youtube.com/watch?v=_LWgzScxUNQ&t=391s,https://www.youtube.com/watch?v=kbl24zsQl4w,
6836aa57798052bc83763d52,Fish,Betta,Puppy/Kitten | Adult | Senior,"Bettas don’t need physical grooming, but their tank environment requires weekly water changes of 25-30%. Remove uneaten food and debris with a siphon. Avoid strong filters—bettas prefer calm water. Clean decorations monthly and rinse filter media in tank water to preserve beneficial bacteria.","Feed adult bettas high-protein betta pellets 1-2 times daily. Supplement with frozen or freeze-dried bloodworms, brine shrimp, or daphnia 2-3 times a week. Feed only what they can eat in 2 minutes to prevent bloating and water quality issues.","Bettas are prone to fin rot, velvet disease, and constipation. Look for signs like clamped fins, color fading, or floating issues. Maintain warm water (78-80°F or 25-27°C), pH 6.5-7.5, ammonia and nitrite at 0 ppm, and nitrate under 40 ppm.",https://media.istockphoto.com/id/1439562491/photo/blue-betta-fish-splendors-isolated-on-black-background.webp?a=1&b=1&s=612x612&w=0&k=20&c=QJryNMv0V4mj1RDVbyvESTU8_wkJVH4KwFL99NSsuCA=,How to Care for Your Betta Fish,Betta Fish Tank Setup and Maintenance,https://m.youtube.com/watch?v=_st_6B96Tj0&t=22s,https://www.youtube.com/watch?v=vOubuXdLIjs&pp=ygUJI3BvZGJldHRh,
6836aa57798052bc83763d53,Fish,Guppy,Puppy/Kitten | Adult | Senior,"Guppies need a clean, well-maintained tank. Change 25% of the water weekly and use a gravel vacuum to remove waste. Rinse filter media in tank water monthly. Keep tank decor clean to reduce algae and bacteria buildup.","Feed adult guppies a varied diet of high-quality flake or micro-pellet food. Supplement with baby brine shrimp, daphnia, and spirulina-based flakes. Feed small amounts 2 times daily, only what they can consume in 1-2 minutes.","Guppies are prone to ich, fin rot, and dropsy. Monitor for spots, bloating, or erratic swimming. Maintain water temperature at 72-82°F (22-28°C), pH between 6.8-7.8, ammonia and nitrite at 0 ppm, and nitrate below 40 ppm.",https://media.istockphoto.com/id/1057678494/photo/guppy-poecilia-reticulata-colorful-rainbow-tropical-aquarium-fish.webp?a=1&b=1&s=612x612&w=0&k=20&c=Oy0b2zresf57BNs0Z89GvL_-LSFvpddVHFjLyUr8Hho=,Beginner's Guide to Guppy Care,Feeding Guppies the Right Way,https://www.youtube.com/watch?v=iKao1a90Lfk,https://www.youtube.com/watch?v=cbqx9OtJ3Jc,
6836aa57798052bc83763d54,Fish,Angelfish,Puppy/Kitten | Adult | Senior,Angelfish tanks require weekly 25% water changes. Use a gravel vacuum to remove debris and clean filter media monthly in old tank water. Avoid overcrowding and ensure the tank is tall enough for their body shape.,"Feed high-quality flake or pellet food formulated for cichlids, along with frozen or live brine shrimp, bloodworms, and daphnia. Feed 2-3 times a day in small portions that they can consume in a few minutes.","Angelfish can suffer from hole-in-the-head disease, fin rot, and ich. Maintain optimal water quality: temperature 76-82°F (24-28°C), pH 6.8-7.8. Watch for changes in appetite, aggression, or physical damage to fins.",https://plus.unsplash.com/premium_photo-1684943834572-aefa4307e5a8?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YW5nZWxmaXNofGVufDB8fDB8fHww,How to Keep Angelfish Healthy and Happy,Feeding Angelfish | What You Need to Know,https://www.youtube.com/watch?v=CB6H1wQS5RM,https://www.youtube.com/watch?v=ID7NVZPu-Cs&pp=0gcJCdgAo7VqN5tD,
6836aa57798052bc83763d55,Fish,Tetra,Puppy/Kitten | Adult | Senior,Tetras thrive in clean water with weekly 25-30% water changes. Siphon out uneaten food and debris. Clean decorations monthly and rinse filters in tank water to preserve bacteria colonies. Avoid sudden changes in water parameters.,"Tetras should be fed high-quality tropical flakes or micro-pellets. Supplement with freeze-dried or live foods like daphnia and brine shrimp once or twice a week. Feed small amounts 1-2 times daily, consuming within 2 minutes.","Common illnesses include fin rot, ich, and neon tetra disease. Keep water temperature stable at 72-78°F (22-26°C), pH 6.0-7.5, ammonia and nitrite at 0 ppm. Observe behavior closely; stress from poor water quality can lead to disease.",https://media.istockphoto.com/id/514967377/photo/neon-tetra-paracheirodon-innesi-freshwater-tropical-fish.webp?a=1&b=1&s=612x612&w=0&k=20&c=OveHdna60pZPOckZfJV5kScnepYY1g0XZ-2Z1rK6ysE=,Tetra Fish Care Guide,Tetra Tank Setup and Maintenance,https://www.youtube.com/watch?v=Ocy5EtjprNU&pp=0gcJCdgAo7VqN5tD,https://www.youtube.com/watch?v=MNaT_lqSL94&pp=0gcJCdgAo7VqN5tD,
6836aa68798052bc83763d56,Bird,African Grey,Puppy/Kitten | Adult | Senior,"Adult African Grey parrots need regular wing and nail trims every 6-8 weeks, ideally done by an avian veterinarian. Provide regular bathing opportunities through light misting, shallow water dishes, or even shower perches. Their beaks naturally wear down with proper chew toys, but may occasionally need professional attention if overgrown.","A balanced diet for adult African Greys consists of 70% high-quality pellets, 20% fresh vegetables and fruits, and 10% healthy seeds and nuts. Offer calcium-rich foods and avoid avocado, chocolate, caffeine, and alcohol, which are toxic to birds. Provide fresh water daily and clean food dishes regularly to prevent bacterial growth.","African Greys are prone to vitamin A and calcium deficiency, respiratory infections, and feather plucking due to stress or boredom. They can develop atherosclerosis (hardening of the arteries) and are sensitive to airborne toxins. Annual check-ups with an avian veterinarian are essential.",https://images.unsplash.com/photo-1737364114804-538d1a1bca59?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8YWZyaWFuJTIwZ3JleXxlbnwwfHwwfHx8MA%3D%3D,African Grey Parrot Care Guide,Training Your African Grey Parrot,https://www.youtube.com/watch?v=PbyV4eURG8E,https://www.youtube.com/watch?v=REnX63PvZBY,African Greys are highly intelligent and require regular mental stimulation. Use positive reinforcement training techniques and establish a consistent routine. Provide plenty of toys that encourage problem-solving and foraging behaviors.
6836aa68798052bc83763d57,Bird,Cockatiel,Puppy/Kitten | Adult | Senior,"Cockatiels need regular nail trims every 4–6 weeks, ideally done by an avian vet. They enjoy regular misting or shallow baths to maintain feather health. Provide natural wood perches and chew toys to help maintain beak and nail health.","Feed adult cockatiels a diet consisting of 60-70% pellets, with the remainder being fresh vegetables (dark leafy greens, carrots) and limited fruit. Seeds can be given as treats. Avoid avocado, chocolate, and caffeine. Fresh water should always be available.","Cockatiels are prone to respiratory infections, fatty liver disease (especially in seed-heavy diets), and feather plucking. Monitor for signs like nasal discharge, lethargy, or tail bobbing. Annual check-ups are important.",https://media.istockphoto.com/id/909986432/photo/four-colourful-cockatiel-sitting-site-by-site.webp?a=1&b=1&s=612x612&w=0&k=20&c=GrKiRCN1IXNd4xzrijBInRioTi8__p35Wn4ae2l6NmE=,Cockatiel Care Tips for Beginners,How to Train Your Cockatiel,https://m.youtube.com/watch?v=HPdSMXEBTDk&t=0s,https://www.youtube.com/watch?v=0WGUpvftNm4&pp=ygURI2ZsdWZmeWNvY2thdGllbHM%3D,"Use gentle, consistent training with positive reinforcement. Cockatiels respond well to whistling and simple tricks. Provide toys and regular interaction to prevent boredom."
6836aa68798052bc83763d58,Bird,Budgerigar,Puppy/Kitten | Adult | Senior,Budgies require occasional nail trims and enjoy mist baths or a shallow dish for bathing. Provide cuttlebones or mineral blocks to keep beaks healthy. Monitor beak growth and consult a vet if overgrown.,"Feed a balanced diet of 60-70% pellets, supplemented with fresh vegetables (like spinach and carrots) and occasional fruit. Seeds can be offered sparingly. Avoid toxic foods like avocado, onion, and alcohol.","Budgies are susceptible to tumors, scaly face mites, and respiratory diseases. Signs of illness include puffed-up feathers, changes in droppings, and tail bobbing. Keep their environment clean and offer a varied diet.",https://images.unsplash.com/photo-1586454624115-4017beba702b?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjB8fGJ1ZGdlcmlnYXJ8ZW58MHx8MHx8fDA%3D,Budgie Care 101,Training Budgies to Talk,https://www.youtube.com/watch?v=H0UjkPr4u8w,https://www.youtube.com/watch?v=PDXyCx6jefo&pp=0gcJCdgAo7VqN5tD,Budgies can learn tricks and mimic speech with consistent training. Use treats and repetition for taming. Spend time interacting daily and rotate toys to stimulate their curiosity.
6836aa68798052bc83763d59,Bird,Macaw,Puppy/Kitten | Adult | Senior,Macaws require professional nail and beak maintenance every 6–8 weeks. Offer frequent bathing or misting and provide a wide range of natural wood toys and perches for beak and feather health.,"Macaws need a diet rich in high-quality pellets (50%), fresh fruits and vegetables (30–40%), and some nuts and seeds (10–20%). Avoid sugary or salty human foods, chocolate, avocado, and alcohol.","Macaws are susceptible to psittacine beak and feather disease, fungal infections, and feather destructive behavior. They need large cages and mental stimulation to prevent stress-related illnesses. Annual vet visits are vital.",https://media.istockphoto.com/id/1358229987/photo/pair-of-macaws-perching-on-a-branch.webp?a=1&b=1&s=612x612&w=0&k=20&c=dw-qqST0BN_CYWPWMEDSae7Lgxfr_qQxXQyN_1RHMJk=,Macaw Parrot Daily Care,Training Your Macaw,https://www.youtube.com/watch?v=1oZ5Zw_CuhI,https://www.youtube.com/watch?v=1KdtHGgz8s0,"Use advanced positive reinforcement techniques and reward-based training. Macaws thrive on interaction and can learn complex behaviors. They need large, engaging toys and structured routines."
6836aa68798052bc83763d5a,Bird,Conure,Puppy/Kitten | Adult | Senior,Conures require nail trimming every 4–6 weeks. Regular misting or shallow water dishes help maintain feather condition. Provide natural wood perches and toys to promote healthy beak wear and mental engagement.,"Feed conures a balanced diet of 60% pellets, 30% fresh fruits and vegetables, and 10% seeds or nuts. Rotate fresh food options regularly and avoid avocado, chocolate, and alcohol.","Conures are prone to feather plucking, respiratory infections, and fatty liver disease. Keep their living space clean and enriched, and monitor for behavior changes. Regular avian vet checkups are crucial.",https://media.istockphoto.com/id/1271755454/photo/lovely-beautiful-parrot-green-cheek-conure-pineapple-conure.webp?a=1&b=1&s=612x612&w=0&k=20&c=S_7--P8l1y6a2-gJSETlR0aiefiCbD8pk6WSukbMjD0=,Conure Parrot Complete Care Guide,How to Train Your Conure,https://www.youtube.com/watch?v=knW4qwuxtUs,https://www.youtube.com/watch?v=Bulzb2BPjoo,Conures are social and respond well to interactive training. Use treats and toys as positive reinforcement. Teach basic commands and provide daily out-of-cage time to prevent boredom.
